-4.8797,-1.769,0.7275,0.7225,0,0,1.153,1.1569,1.2038,1.203,0,0,0,0,0.221,0.2259,0,0,0.066088,0.067081,0,0,-0.453917,-1.006261,2.76315,-2134.338405,14.937,14.958,0,0,24.32,33.745,33.907,0,0,0,318.788,9.78,2.79,"7.28
",10.1,2.36,"6.44
",0,0,0,0,0,0,12.1,2.66,"6.37
",7.82,2.79,"11.60
",0,0,0,0,0,
-4.7062,-2.0088,0.7476,0.8731,0.8147,0.7628,1.1182,1.1683,1.1613,1.0154,1.1212,1.1575,1.1851,1.0343,0.2329,0,0.1484,0.1973,0.075492,0.133746,0.076932,0.074391,-0.355966,-1.028449,5.90922,-3127.03641,17.146,25.538,20.169,18.164,26.396,33.998,40.115,38.011,26.794,35.952,270.807,9.35,2.8,"9.48
",10.11,2.75,"9.15
",4.73,4.68,"10.38
",10.11,3.1,"9.08
",13.3,3.55,"10.59
",9.28,2.75,"11.71
",9.99,4.72,"11.06
",9.34,3.72,"8.88
"
-4.796,-1.9546,0.7448,0.7969,0.882,0.8817,1.1133,1.2652,1.2142,0.9751,0.8885,1.2698,1.0886,1.1589,0.2029,0.1783,0,0,0.06645,0.062453,0.137703,0.158396,-0.458393,-0.990894,15.13005,-2592.720077,15.894,18.721,25.837,24.404,21.578,33.257,126.571,127.395,29.068,35.023,312.923,12.73,3.82,"12.16
",9.77,4.01,"11.15
",10.93,4.3,"10.03
",14.56,3.24,"10.30
",12.15,2.76,"11.36
",17.07,4.03,"10.30
",6.22,3.31,"11.56
",9.43,3.26,"13.86
"
-4.8453,-1.7401,0.8519,0.7738,0,0,1.1177,1.25,1.1991,0.9319,0,0,0,0,0.1816,0.1435,0.2062,0,0.073741,0.071139,0.07245,0,-0.402257,-1.004535,2.89177,-1652.377073,17.623,21.587,22.479,0,19.933,33.735,115.149,0,0,0,306.847,6.85,2.06,"9.45
",6.78,3.62,"7.51
",0,0,0,0,0,0,5.89,3.62,"11.12
",9.59,3.91,"8.37
",0,0,0,0,0,0
-4.5017,-1.8732,0.7118,0.8744,0.811,0.7619,1.1422,1.1468,1.1316,1.0295,1.1582,1.1416,1.1834,1.1403,0.2896,0,0.1502,0.207,0.072591,0.129613,0.081077,0.071103,-0.351861,-0.980853,6.902,-1779.486196,16.499,25.572,20.345,17.378,28.09,34.16,38.192,37.454,26.068,35.483,258.211,9.03,2.37,"9.29
",8.74,2.05,"8.65
",4.77,4.23,"9.82
",9.99,3.24,"9.38
",11.43,3.79,"9.32
",6.51,1.9,"12.64
",10.11,4.1,"10.03
",7.82,4.14,"8.67
"
-4.7952,-2.9083,0.711,0.8707,0.8169,0.7481,1.0903,1.1647,1.1906,1.0277,1.1233,1.1688,1.1385,1.2083,0.2688,0,0.1356,0.209,0.075895,0.135809,0.08106,0.074753,-0.339559,-1.010676,18.19468,-2188.340542,16.008,25.322,20.453,16.771,27.744,28.244,39.781,38.997,26.726,30.259,257.592,9.3,1.85,"9.35
",11.52,2.06,"8.66
",4.74,4.42,"11.16
",10.05,2.34,"8.99
",11.69,3.71,"10.86
",7.22,1.72,"12.56
",9.96,4.33,"11.29
",8.85,4.02,"8.65
"
-4.6042,-1.8091,0.7445,0.8757,0.8168,0.7516,1.1148,1.1896,1.1726,0.998,1.1044,1.1707,1.1801,1.0101,0.2492,0,0.1538,0.2124,0.074421,0.130586,0.078416,0.070789,-0.356813,-1.012485,9.57705,-3131.82026,17.466,25.969,20.762,17.843,25.994,33.627,42.495,40.123,26.474,35.408,276.553,8.99,2.82,"9.48
",10.89,2.35,"9.01
",6.71,4.54,"10.10
",9.67,3.31,"8.87
",12.18,3.62,"10.62
",9.41,2.78,"11.56
",10.65,4.47,"10.38
",9.4,4.45,"8.66
"
-4.5481,-1.8931,0.6513,0.7756,0,0,1.1817,1.1564,1.2078,1.1554,0,0,0,0,0.3072,0.1752,0,0,0.060877,0.073736,0,0,-0.410448,-0.98112,3.98899,-2073.643709,13.824,18.79,0,0,24.11,33.312,34.684,0,0,0,313.547,4.75,3.5,"10.49
",10.01,3.09,"7.69
",0,0,0,0,0,0,9.66,3.67,"11.07
",9.48,3.25,"8.60
",0,0,0,0,0,0
-5.001,-1.6884,0.7838,0.8309,0.7693,0,1.1674,1.2488,1.1895,0.9641,0.9181,0,0,0,0.193,0.1505,0.1799,0,0.073442,0.068841,0.079176,0,-0.374328,-0.994998,7.76416,-2838.01891,17.56,21.395,20.37,0,18.255,31.215,109.357,114.676,0,0,293.583,9.8,3.88,"10.49
",10.17,2.49,"10.59
",9.27,2.86,"11.85
",0,0,0,9.74,4.02,"8.96
",9.56,3.38,"12.31
",7.18,3.05,"12.44
",0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
