6,0,0,25
7,0,0,25
8,0,0,25
9,0,0,25
11,0,0,25
12,0,0,25
12,1,1,25
12,1,0,25
17,1,1,25
24,6,1,25
8,11,0,25
8,16,0,25
6,17,0,25
8,19,0,25
8,21,0,25
8,22,0,25
8,23,0,25
17,23,1,25
8,24,0,25
8,25,0,25
17,25,0,25
8,37,1,25
8,37,0,25
8,43,1,25
17,43,1,25
17,44,0,25
17,46,1,25
17,53,1,-10
8,54,0,25
8,54,0,25
6,62,0,25
8,62,0,25
8,62,0,25
0,64,0,25
0,66,0,25
0,69,0,25
1,69,0,25
1,74,0,25
8,79,0,25
8,79,0,25
0,2,0,25
0,3,0,25
4,6,0,25
0,9,0,25
0,11,0,25
0,12,0,25
0,13,0,25
0,15,0,25
0,19,0,25
0,20,0,25
4,23,0,25
0,24,0,25
1,24,0,25
0,25,0,25
1,25,0,25
1,27,0,25
4,32,0,25
1,54,0,25
0,65,0,25
0,67,0,25
0,68,0,25
0,71,0,25
0,72,0,25
0,73,0,25
0,8,0,25
0,16,0,25
0,18,0,25
1,55,0,25
4,31,0,25
1,37,0,25
4,22,0,25
0,26,0,25
0,30,0,25
1,9,0,25
4,25,0,25
8,14,0,25
8,17,0,25
5,29,0,25
1,43,0,25
15,1,0,25
4,12,0,25
4,13,0,25
4,11,0,25
0,17,0,25
0,70,0,25
1,11,0,25
8,20,0,25
4,4,0,25
8,13,0,25
1,23,0,25
4,30,0,25
0,10,0,25
0,22,0,25
4,17,0,25
0,1,0,25
0,4,0,25
1,13,0,25
0,21,0,25
0,23,0,25
1,44,0,25
2,1,0,25
4,1,0,25
10,1,0,25
6,4,0,25
4,15,0,25
6,15,0,25
1,17,0,25
4,24,0,25
0,7,0,25
1,58,0,25
1,15,0,25
6,18,0,25
1,26,0,25
4,26,0,25
1,28,0,25
1,71,0,25
3,1,0,25
1,22,0,25
6,1,0,25
8,19,1,25
1,38,0,25
27,1,0,25
0,6,0,25
1,10,0,25
4,33,0,25
1,1,0,25
2,6,0,25
1,18,0,25
6,19,0,25
3,32,0,25
8,29,0,25
1,5,0,25
1,7,0,25
6,14,0,25
4,16,0,25
17,39,0,25
1,31,0,25
8,36,1,25
4,30,0,25
8,4,0,25
1,35,0,25
7,1,0,25
6,11,0,25
1,32,0,25
8,47,1,25
17,47,1,25
1,4,0,25
8,31,0,25
8,31,0,25
17,1,1,25
24,6,1,25
1,20,0,25
1,29,0,25
1,33,0,25
4,34,0,25
6,6,0,25
1,16,0,25
1,50,0,25
23,1,1,25
17,26,1,25
1,40,0,25
17,50,0,25
19,1,1,25
21,1,1,25
8,6,0,25
1,53,0,25
1,63,0,25
3,6,0,25
8,30,0,25
1,45,0,25
1,51,0,25
1,6,0,25
8,6,1,25
1,19,0,25
24,26,1,25
4,29,0,25
8,39,0,25
1,47,0,25
1,34,0,25
1,34,0,25
8,35,0,25
1,30,0,25
22,1,1,25
3,30,0,25
3,34,0,25
17,35,0,25
1,42,0,25
1,46,0,25
8,53,1,25
17,53,0,25
1,56,0,25
18,1,1,25
1,36,0,25
1,39,0,25
17,1,1,25
17,6,1,25
8,30,1,25
17,36,1,25
17,42,1,25
8,51,1,25
8,32,0,25
17,30,1,25
1,48,0,25
17,6,1,25
1,41,0,25
8,1,0,25
24,1,1,25
24,1,1,25
24,30,1,25
17,57,1,25
17,1,1,-10
17,6,0,-10
17,42,1,-10
17,50,1,25
17,50,1,25
17,51,1,25
4,76,0,25
17,6,1,-10
17,51,1,-10
24,52,1,25
17,53,1,25
17,53,1,25
24,30,1,-10
8,1,1,25
4,75,0,25
4,77,0,25
4,78,0,25
17,42,1,-10
17,30,1,25
17,52,1,-20
16,76,1,-30
17,76,1,-30
8,1,1,-10
17,50,1,-10
17,52,1,25
17,57,1,-10
8,77,1,25
8,77,1,-10
8,76,1,25
8,78,1,25
17,76,1,-10
8,52,1,25
8,77,1,-30
8,52,1,-20
8,77,1,-20
8,76,1,-30
8,76,1,-30
8,76,1,-25
8,78,1,-20
8,76,1,-35
26,76,1,-30
14,76,1,-30
13,76,1,0
31,76,1,25
30,76,1,-30
32,76,1,0
29,75,1,25
